rank,prev_rank,company,location,industry,revenue,profit_percent,ceo_pay_ratio,women_board_percent,women_leadership_percent,women_workforce_percent,climate_grade,sustainability_initiatives
1,14,Sims Ltd,"Mascot, Australia",Waste management,"$38,525 ",16%,36:1,38%,100%,100%,A+,
2,3,Brambles Ltd,"Sydney, Australia",Furniture and general manufacturing,"$123,791 ",12%,61:1,36%,100%,100%,A,"1.5°C, SBTi"
3,2,Vestas Wind Systems A/S,"Aarhus, Denmark",Machinery manufacturing,"$141,969 ",19%,70:1,42%,100%,100%,A,"1.5°C, SBTi"
4,9,Taiwan High Speed Rail Corp,"Taipei, Taiwan",Transit and ground transportation,"$7,698 ",0%,11:1,15%,100%,100%,A,
5,,Nordex SE,"Hamburg, Germany",Machinery manufacturing,"$160,887 ",73%,82:1,33%,100%,100%,A,"1.5°C, SBTi"
6,15,Banco do Brasil SA,"Brasília, Brazil",Banks,"$1,106,800 ",17%,9:1,50%,29%,0%,A-,"1.5°C, SBTi"
7,7*,Schneider Electric SE,"Rueil-Malmaison, France",Electrical equipment manufacturing,"$102,400 ",16%,97:1,50%,72%,80%,A-,"1.5°C, SBTi"
8,18,Chr Hansen Holding A/S,"Hørsholm, Denmark",Food and beverage manufacturing,"$38,696 ",14%,34:1,50%,47%,71%,A-,"1.5°C, SBTi"
9,7,Stantec Inc,"Edmonton, Canada","Business, engineering and personal services","$118,360 ",12%,60:1,50%,59%,60%,A-,"1.5°C, SBTi"
10,,SMA Solar Technology AG,"Niestetal, Germany",Semiconductor and electronic components manufacturing,"$135,701 ",22%,15:1,33%,100%,100%,A-,SBTi
11,5,Autodesk Inc,"San Francisco, U.S.",IT services except telecom and hosting,"$517,478 ",19%,,50%,93%,0%,A-,"1.5°C, SBTi"
12,,WSP Global Inc,"Montreal, Canada","Business, engineering and personal services","$152,031 ",16%,109:1,33%,57%,92%,B+,"1.5°C, SBTi"
13,,Clean Harbors Inc,"Norwell, U.S.",Waste management,"$3,048 ",8%,,45%,100%,100%,B+,
14,,Enphase Energy Inc,"Fremont, U.S.",Semiconductor and electronic components manufacturing,"$209,362 ",4%,,14%,100%,100%,B+,
15,65,Telefonaktiebolaget LM Ericsson,"Stockholm, Sweden",Telephones and telecom equipment manufacturing,"$174,040 ",18%,83:1,29%,47%,71%,B+,"1.5°C, SBTi"
16,35,SunPower Corp,"Richmond, U.S.",Semiconductor and electronic components manufacturing,,0%,,22%,100%,100%,B+,SBTi
17,13,Ørsted A/S,"Fredericia, Denmark",Power generation,"$8,192 ",10%,35:1,50%,65%,99%,B+,"1.5°C, SBTi"
18,,Alstom SA,"Saint-Ouen, France",Non-road transport equipment manufacturing,"$111,827 ",11%,31:1,38%,84%,92%,B+,SBTi
19,29,Neste Oyj,"Espoo, Finland","Refining, petrochemicals and basic organic chemicals","$15,844 ",10%,14:1,25%,39%,92%,B+,
20,10,Dassault Systèmes SE,"Vélizy-Villacoublay, France",IT services except telecom and hosting,"$318,772 ",14%,27:1,50%,66%,6%,B+,"1.5°C, SBTi"
21,51,Giant Manufacturing Co Ltd,"Taichung, Taiwan",Non-road transport equipment manufacturing,"$56,418 ",18%,227:1,9%,100%,100%,B+,
22,28,City Developments Ltd,"Singapore, Singapore",Real estate,"$25,789 ",17%,38:1,20%,54%,64%,B+,"1.5°C, SBTi"
23,,Trane Technologies PLC,"Swords, Ireland",HVAC equipment manufacturing,"$44,213 ",25%,126:1,45%,38%,29%,B+,"1.5°C, SBTi"
24,,United Utilities Group PLC,"Warrington, U.K.",Water and sewage treatment,"$10,544 ",3%,71:1,40%,42%,100%,B+,"1.5°C, SBTi"
25,,XPeng Inc,"Guangzhou, China","Cars and trucks manufacturing, including parts","$264,119 ",0%,,14%,100%,100%,B,
26,,Wheaton Precious Metals Corp,"Vancouver, Canada",Asset management,"$33,251,733 ",0%,5:1,30%,21%,0%,B,SBTi
27,4,Brookfield Renewable Partners LP,"Hamilton, Bermuda",Power generation,"$25,165 ",4%,58:1,33%,97%,100%,B,
28,54,ERG SpA,"Genoa, Italy",Power generation,"$2,342 ",9%,22:1,42%,52%,100%,B,"1.5°C, SBTi"
29,74,Kesko Oyj,"Helsinki, Finland",Grocery stores,"$124,317 ",9%,110:1,29%,3%,10%,B,"1.5°C, SBTi"
30,,Risen Energy Co Ltd,"Ningbo, China",Semiconductor and electronic components manufacturing,"$14,582 ",23%,21:1,0%,100%,100%,B,
31,58,Severn Trent PLC,"Coventry, U.K.",Water and sewage treatment,"$5,751 ",2%,64:1,56%,50%,100%,B,"1.5°C, SBTi"
32,,Hydro One Ltd,"Toronto, Canada",Power transmission and distribution,"$19,867 ",1%,9:1,40%,36%,98%,B,
33,,Zhuzhou CRRC Times Electric Co Ltd,"Zhuzhou, China",Electrical equipment manufacturing,,28%,,9%,100%,100%,B,
34,46,First Solar Inc,"Tempe, U.S.",Semiconductor and electronic components manufacturing,"$4,270 ",15%,,25%,100%,100%,B,"1.5°C, SBTi"
35,53,Eisai Co Ltd,"Tokyo, Japan",Pharmaceutical and biotech manufacturing,"$188,590 ",16%,10:1,18%,49%,22%,B,"1.5°C, SBTi"
36,1,Radius Recycling,"Portland, U.S.",Waste management,"$19,067 ",5%,103:1,50%,95%,100%,B,
37,87,Beazley PLC,"London, U.K.",Insurance companies,"$2,864,982 ",10%,11:1,45%,15%,0%,B,NZIA
38,20,Cascades Inc,"Kingsey Falls, Canada",Packaging,"$4,763 ",3%,66:1,38%,88%,86%,B,SBTi
39,,EDP Renováveis SA,"Madrid, Spain",Power generation,,2%,7:1,33%,100%,100%,B,SBTi
40,32,Beijing Enterprises Water Group Ltd,"Hong Kong, China",Water and sewage treatment,"$3,828 ",8%,,20%,94%,100%,B,
41,49,Atea ASA,"Oslo, Norway",Computers and peripherals manufacturing,"$483,930 ",12%,23:1,38%,57%,38%,B,SBTi
42,64,Yadea Group Holdings Ltd,"Wuxi, China",Non-road transport equipment manufacturing,"$49,209 ",8%,7:1,13%,100%,100%,B,
43,,Li Auto Inc,"Beijing, China","Cars and trucks manufacturing, including parts","$107,512 ",3%,95:1,13%,100%,100%,B-,
44,69,Maxeon Solar Technologies Ltd,"Singapore, Singapore",Semiconductor and electronic components manufacturing,"$4,422 ",8%,,0%,100%,100%,B-,
45,31,Kering SA,"Paris, France","Retail, except grocery and auto","$261,469 ",28%,151:1,46%,26%,5%,B-,"1.5°C, SBTi, FCCA"
