rank_2024,rank_2023,name,gics_industry,gics_sector,hq_location, revenue_usd_ppp ,energy_prod_score,carbon_prod_score,water_prod_score,ceo_pay_ratio,overall_score
1,14,Sims Ltd,Metals & Mining,Materials,"Mascot, Australia"," $5,573,478,289 ",95.0%,90.0%,,36:1,A+
2,3,Brambles Ltd,Commercial Services & Supplies,Industrials,"Sydney, Australia"," $6,076,800,000 ",57.1%,58.3%,,61:1,A
3,2,Vestas Wind Systems A/S,Electrical Equipment,Industrials,"Aarhus, Denmark"," $22,337,564,610 ",66.5%,59.8%,82.6%,70:1,A
4,9,Taiwan High Speed Rail Corp,Transportation Infrastructure,Industrials,"Taipei, Taiwan"," $2,439,925,948 ",56.3%,81.3%,,11:1,A
5,,Nordex SE,Electrical Equipment,Industrials,"Hamburg, Germany"," $8,779,591,182 ",98.2%,65.3%,68.8%,82:1,A
6,15,Banco do Brasil SA,Banks,Financials,"Brasília, Brazil"," $52,549,117,257 ",97.9%,79.5%,34.7%,9:1,A-
7,7*,Schneider Electric SE,Electrical Equipment,Industrials,"Rueil-Malmaison, France"," $52,699,752,045 ",98.8%,74.8%,100.0%,97:1,A-
8,18,Chr Hansen Holding A/S,Chemicals,Materials,"Hørsholm, Denmark"," $1,878,168,832 ",59.3%,71.9%,68.3%,34:1,A-
9,7,Stantec Inc,Construction & Engineering,Industrials,"Edmonton, Canada"," $4,527,868,499 ",59.6%,35.2%,75.0%,60:1,A-
10,,SMA Solar Technology AG,Semiconductors & Semiconductor Equipment,Information Technology,"Niestetal, Germany"," $1,643,699,962 ",72.0%,75.5%,,15:1,A-
11,5,Autodesk Inc,Software,Information Technology,"San Francisco, U.S."," $5,005,000,000 ",100.0%,63.1%,,,A-
12,,WSP Global Inc,Construction & Engineering,Industrials,"Montreal, Canada"," $9,517,121,471 ",46.8%,40.1%,,109:1,B+
13,,Clean Harbors Inc,Commercial Services & Supplies,Industrials,"Norwell, U.S."," $5,166,605,000 ",54.1%,40.0%,,,B+
14,,Enphase Energy Inc,Semiconductors & Semiconductor Equipment,Information Technology,"Fremont, U.S."," $2,330,853,000 ",75.0%,72.0%,,,B+
15,65,Telefonaktiebolaget LM Ericsson,Communications Equipment,Information Technology,"Stockholm, Sweden"," $31,333,849,283 ",61.0%,83.4%,83.9%,83:1,B+
16,35,SunPower Corp,Electrical Equipment,Industrials,"Richmond, U.S."," $1,741,072,000 ",100.0%,,,,B+
17,13,Ørsted A/S,Electric Utilities,Utilities,"Fredericia, Denmark"," $20,930,534,304 ",93.9%,84.7%,36.0%,35:1,B+
